ticker,view_date,fiscal_period,filing_type,view_bps,confidence,sentiment,eps_surprise
AEE,2006-05-11,Q1_2006,10-Q,-42,medium,negative,-52.77777777777777
AEE,2006-08-10,Q2_2006,10-Q,-74,medium,negative,-45.45454545454546
AEE,2007-05-11,Q1_2007,10-Q,-37,medium,negative,37.20930232558139
AEE,2006-11-10,Q3_2006,10-Q,-32,medium,negative,9.230769230769221
AEE,2007-08-10,Q2_2007,10-Q,-37,medium,negative,-31.68316831683169
AEE,2007-11-10,Q3_2007,10-Q,7,medium,negative,-32.95454545454546
AEE,2008-05-09,Q1_2008,10-Q,112,medium,negative,83.33333333333334
AEE,2006-03-08,FY2005,10-K,-76,medium,negative,-57.391304347826086
AEE,2008-08-09,Q2_2008,10-Q,79,medium,negative,24.0506329113924
AEE,2008-11-11,Q3_2008,10-Q,63,medium,negative,-27.067669172932334
AEE,2009-05-09,Q1_2009,10-Q,44,medium,negative,10.000000000000009
AEE,2007-03-02,FY2006,10-K,-53,medium,negative,-14.285714285714283
AEE,2009-08-11,Q2_2009,10-Q,31,medium,negative,30.508474576271194
AEE,2009-11-10,Q3_2009,10-Q,56,medium,negative,18.181818181818183
AEE,2008-03-01,FY2007,10-K,9,medium,negative,-1.8867924528301903
AEE,2010-05-11,Q1_2010,10-Q,82,medium,negative,26.470588235294105
AEE,2009-03-03,FY2008,10-K,43,medium,negative,0.0
AEE,2010-08-10,Q2_2010,10-Q,41,medium,negative,113.33333333333336
AEE,2011-05-11,Q1_2011,10-Q,79,medium,negative,-40.816326530612244
AEE,2010-02-27,FY2009,10-K,-3,medium,negative,94.11764705882352
AEE,2010-11-09,Q3_2010,10-Q,-5,medium,negative,-162.5
AEE,2011-08-10,Q2_2011,10-Q,54,medium,negative,-12.307692307692317
AEE,2011-11-09,Q3_2011,10-Q,42,medium,negative,-12.307692307692317
AEE,2012-05-11,Q1_2012,10-Q,27,medium,negative,nan
AEE,2011-02-25,FY2010,10-K,24,medium,negative,-8.33333333333333
AEE,2012-08-09,Q2_2012,10-Q,104,medium,negative,70.58823529411764
AEE,2013-05-11,Q1_2013,10-Q,-57,medium,negative,nan
AEE,2012-11-10,Q3_2012,10-Q,143,medium,negative,3.35570469798658
AEE,2012-02-29,FY2011,10-K,-60,medium,negative,-37.5
AEE,2013-08-10,Q2_2013,10-Q,5,medium,negative,-27.77777777777778
AEE,2014-05-13,Q1_2014,10-Q,-170,medium,negative,81.81818181818183
AEE,2013-11-09,Q3_2013,10-Q,-7,medium,negative,0.8130081300813016
AEE,2014-08-12,Q2_2014,10-Q,-17,medium,negative,12.962962962962955
AEE,2015-05-12,Q1_2015,10-Q,-69,medium,negative,45.16129032258065
AEE,2014-11-11,Q3_2014,10-Q,-32,medium,negative,-3.2258064516129057
AEE,2015-08-07,Q2_2015,10-Q,148,medium,negative,-4.687500000000004
AEE,2015-11-07,Q3_2015,10-Q,-5,medium,negative,18.48739495798319
AEE,2016-05-11,Q1_2016,10-Q,-55,medium,negative,30.303030303030294
AEE,2016-08-06,Q2_2016,10-Q,4,medium,negative,41.860465116279066
AEE,2017-05-06,Q1_2017,10-Q,-19,medium,negative,16.666666666666664
AEE,2013-03-02,FY2012,10-K,-26,medium,negative,nan
AEE,2016-11-05,Q3_2016,10-Q,56,medium,negative,22.580645161290324
AEE,2014-03-04,FY2013,10-K,-3,medium,negative,199.99999999999997
AEE,2015-03-03,FY2014,10-K,124,medium,negative,122.22222222222223
AEE,2017-08-05,Q2_2017,10-Q,-52,medium,negative,29.508196721311485
AEE,2018-05-10,Q1_2018,10-Q,-45,medium,negative,14.814814814814806
AEE,2017-11-04,Q3_2017,10-Q,-12,medium,negative,-16.901408450704224
AEE,2016-02-27,FY2015,10-K,-30,medium,negative,-40.00000000000001
AEE,2018-08-09,Q2_2018,10-Q,37,medium,negative,64.40677966101696
AEE,2018-11-03,Q3_2018,10-Q,51,medium,negative,29.464285714285698
AEE,2019-05-11,Q1_2019,10-Q,-13,medium,negative,14.495412844036698
AEE,2019-08-03,Q2_2019,10-Q,54,medium,negative,-4.404052206009272
AEE,2017-03-01,FY2016,10-K,36,medium,negative,-23.529411764705884
AEE,2019-11-09,Q3_2019,10-Q,87,medium,negative,1.0698275624982825
AEE,2020-05-12,Q1_2020,10-Q,76,medium,negative,-16.231258518855064
AEE,2020-08-08,Q2_2020,10-Q,106,medium,negative,10.51094396644076
AEE,2020-11-06,Q3_2020,10-Q,109,medium,negative,-0.19214709097452592
AEE,2018-03-01,FY2017,10-K,94,medium,negative,-175.75757575757578
AEE,2021-05-11,Q1_2021,10-Q,147,medium,negative,23.0028925954962
AEE,2020-02-29,FY2019,10-K,17,medium,negative,22.025625381330073
AEE,2021-02-23,FY2020,10-K,-25,medium,negative,9.484707842437224
AEE,2021-08-07,Q2_2021,10-Q,177,medium,negative,2.8092631146066247
AEE,2021-11-05,Q3_2021,10-Q,186,medium,negative,2.7358878248633216
AEE,2022-05-07,Q1_2022,10-Q,60,medium,negative,-0.18111467852144397
